x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	Md(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
732000	3523000	2	54808.4	8.8124e-03	2.989	7.3661e-07	3.8721e-05	8.7013e-03	6.6147e-06	6.1498e-05	3.6014e-06	1.7550e-09	1.2159e-13	1.4977e-19	1.4783e-27
733000	3523000	0	55794.6	9.1849e-03	2.995	7.3143e-07	3.7485e-05	9.1024e-03	4.1102e-06	3.7976e-05	2.1349e-06	9.2685e-10	5.6452e-14	5.7343e-20	4.2737e-28
734000	3523000	0	56781.2	9.5223e-03	2.998	7.2489e-07	3.6219e-05	9.4583e-03	2.5355e-06	2.3286e-05	1.2563e-06	4.8572e-10	2.6003e-14	2.1777e-20	1.2254e-28
735000	3523000	0	57768.3	9.8460e-03	3.000	7.1796e-07	3.5085e-05	9.7938e-03	1.5544e-06	1.4184e-05	7.3406e-07	2.5261e-10	1.1884e-14	8.2045e-21	3.4849e-29
736000	3523000	0	58755.9	1.0151e-02	3.002	7.1065e-07	3.4071e-05	1.0106e-02	9.4706e-07	8.5834e-06	4.2587e-07	1.3038e-10	5.3887e-15	3.0663e-21	9.8304e-30
737000	3523000	0	59743.9	1.0431e-02	3.002	7.0299e-07	3.3165e-05	1.0392e-02	5.7352e-07	5.1601e-06	2.4532e-07	6.6785e-11	2.4244e-15	1.1368e-21	2.7505e-30
738000	3523000	0	60732.2	1.0685e-02	3.003	6.9500e-07	3.2361e-05	1.0649e-02	3.4522e-07	3.0818e-06	1.4032e-07	3.3950e-11	1.0823e-15	4.1812e-22	7.6333e-31
739000	3523000	0	61721.0	1.0909e-02	3.003	6.8671e-07	3.1649e-05	1.0874e-02	2.0655e-07	1.8285e-06	7.9689e-08	1.7127e-11	4.7933e-16	1.5255e-22	2.1012e-31
740000	3523000	0	62710.0	1.1100e-02	3.003	6.7815e-07	3.1023e-05	1.1067e-02	1.2284e-07	1.0778e-06	4.4936e-08	8.5746e-12	2.1064e-16	5.5212e-23	5.7368e-32
674000	3522000	269	10908.3	1.7241e-05	1.213	1.7241e-07	6.6732e-06	7.0123e-08	5.8361e-09	2.6782e-08	4.2153e-06	5.2850e-06	7.7362e-07	1.8419e-08	7.6680e-11
675000	3522000	241	10586.1	7.6985e-05	0.098	1.9245e-07	1.0040e-05	8.0928e-07	3.6145e-07	5.9608e-07	3.1418e-05	2.9914e-05	3.5784e-06	7.3931e-08	2.8010e-10
676000	3522000	338	10350.8	3.9728e-04	-0.246	1.7753e-07	6.6681e-06	8.6065e-06	6.8130e-06	1.0227e-05	2.0453e-04	1.4582e-04	1.4183e-05	2.5337e-07	8.6986e-10
677000	3522000	364	10208.5	2.3076e-03	0.043	1.8374e-07	7.5842e-06	1.1354e-04	1.4411e-04	1.6464e-04	1.2018e-03	6.2565e-04	4.9233e-05	7.5709e-07	2.3397e-09
678000	3522000	474	10163.1	1.2483e-02	0.399	1.6187e-07	1.2604e-05	8.6392e-04	1.5428e-03	1.7851e-03	5.8898e-03	2.2434e-03	1.4376e-04	1.9063e-06	5.2878e-09
679000	3522000	459	10215.8	7.4084e-02	0.881	1.8343e-07	6.2065e-05	6.9781e-03	1.7375e-02	1.7045e-02	2.5275e-02	6.9780e-03	3.6618e-04	4.1874e-06	1.0367e-08
680000	3522000	350	10365.1	4.1467e-01	1.210	2.3287e-07	1.8035e-04	3.9943e-02	1.3856e-01	1.2422e-01	9.2310e-02	1.8643e-02	8.1008e-04	8.0094e-06	1.7617e-08
681000	3522000	366	10607.1	1.5288e+00	1.320	2.4502e-07	6.5706e-04	1.3351e-01	5.6458e-01	5.2928e-01	2.5885e-01	4.0426e-02	1.4895e-03	1.2855e-05	2.5141e-08
